feature,0-3h,3-6h,6-12h,12-24h,24-48h
MAP_abs_deviation_from_normal,0.005938925905098191,0.010279881394895116,0.004014614202693175,0.002197207886732201,0.0011985196841511334
MAP_drift_from_normal,0.015146967573648744,0.017096207380941256,0.011526131801119381,0.012101271924951211,0.01504288458547746
DBP_above_normal,0.0,0.0,0.0,0.0,0.0
DBP_below_normal,0.0,0.0,0.0,0.0,0.0
DBP_deviation_from_normal,0.011467783433072323,0.014402545338980955,0.011546945676250846,0.01984355503590799,0.024407299167283153
DBP_abs_deviation_from_normal,0.010784410944116632,0.008181693458360664,0.005613660426614118,0.014348434944614895,0.020730596459360835
DBP_drift_from_normal,0.009548056956567108,0.004202721419666954,0.0047518179262820495,0.013387489915589686,0.02092723640484442
Resp_above_normal,0.0,0.0,0.0,0.0,0.0
Resp_below_normal,0.0,0.0,0.0,0.0,0.0
Resp_deviation_from_normal,0.13413057097110193,0.1292504279507311,0.11225443722508935,0.07921239232406058,0.06423663520736458
Resp_abs_deviation_from_normal,0.1282808260265599,0.1258432875407773,0.11305000031008469,0.07850843048049247,0.06646487369711439
Resp_drift_from_normal,0.002997759509632268,0.008357706080690277,0.008393902253335958,0.005230817306910412,0.005592516220388806
EtCO2_above_normal,0.0,0.0,0.0,0.0,0.0
EtCO2_below_normal,0.0,0.0,0.0,0.0,0.0
EtCO2_deviation_from_normal,0.02232468592954043,0.023585958867531984,0.02296173137270316,0.027098749204947238,0.03592852791542604
EtCO2_abs_deviation_from_normal,0.056109005065667725,0.05212360390137183,0.04399411268216005,0.05025419993372188,0.052242583753610204
EtCO2_drift_from_normal,0.029107903754409175,0.03829627041733093,0.026276548526717694,0.031044877241953046,0.04351564186732648
BaseExcess_above_normal,0.0,0.0,0.0,0.0,0.0
BaseExcess_below_normal,0.0,0.0,0.0,0.0,0.0
BaseExcess_deviation_from_normal,0.20834534106237312,0.19921587795438106,0.1841810591987431,0.19962982739167845,0.1935172049208294
BaseExcess_abs_deviation_from_normal,0.14204180138640082,0.14945331566614733,0.12788034146685226,0.13639411007124297,0.1394285986692432
BaseExcess_drift_from_normal,0.0056385679113187,0.0045792983253060025,0.0036516842684895545,0.003178915392768335,0.004134676284273002
HCO3_above_normal,0.0,0.0,0.0,0.0,0.0
HCO3_below_normal,0.0,0.0,0.0,0.0,0.0
HCO3_deviation_from_normal,0.09513918023935097,0.08318930436672589,0.07302075312079064,0.073360762352411,0.07312753012725151
HCO3_abs_deviation_from_normal,0.07251253443306901,0.06885546995377154,0.05577640324217101,0.05651727572417761,0.07297945300472296
HCO3_drift_from_normal,0.0058553956008408755,0.004024577994937138,0.0023060423656683484,0.004218433812333158,0.0021689736636750874
FiO2_above_normal,0.0,0.0,0.0,0.0,0.0
FiO2_below_normal,0.0,0.0,0.0,0.0,0.0
FiO2_deviation_from_normal,0.43520413052779494,0.40185374822456277,0.3463261261872974,0.3976448260082302,0.4631886420886706
FiO2_abs_deviation_from_normal,0.4371809775869826,0.4040713091273528,0.34807875820951056,0.39986731646591267,0.4662921028360276
FiO2_drift_from_normal,0.0063915671518232076,0.0032358289658916345,0.003562569690992503,0.0035667596266633315,0.002643219528141581
pH_above_normal,0.0,0.0,0.0,0.0,0.0
pH_below_normal,0.0,0.0,0.0,0.0,0.0
pH_deviation_from_normal,0.4446429497597554,0.295743367669557,0.2654925797266502,0.32048560715839713,0.43891085652410144
pH_abs_deviation_from_normal,0.403124469544349,0.22514990914324906,0.18752750194738166,0.20398586238799596,0.39464672737499573
pH_drift_from_normal,0.0057041756593567815,0.0032927535836336026,0.00503924382731824,0.005507543810383653,0.007793939196331834
PaCO2_above_normal,0.0,0.0,0.0,0.0,0.0
PaCO2_below_normal,0.0,0.0,0.0,0.0,0.0
PaCO2_deviation_from_normal,0.2019649569778229,0.2035392814535599,0.17841130603009367,0.1794599786708023,0.19807565262262244
PaCO2_abs_deviation_from_normal,0.23791464884657706,0.23877326145757685,0.20108504496985677,0.236366940967386,0.26209956973147264
PaCO2_drift_from_normal,0.00924182587084292,0.004811278728070751,0.004959661524762485,0.004676133647470672,0.008018988211745797
SaO2_above_normal,0.0,0.0,0.0,0.0,0.0
SaO2_below_normal,0.0,0.0,0.0,0.0,0.0
SaO2_deviation_from_normal,0.1586572213933311,0.1377267190416287,0.11986762609651826,0.15149966273075666,0.1834968809247885
SaO2_abs_deviation_from_normal,0.14993389168428575,0.12892525142578626,0.11598075268410935,0.14469828568022275,0.16850273159124218
SaO2_drift_from_normal,0.00610205897973937,0.00034586144456478677,0.001679564861939556,0.000629501488872848,0.0016875223006903896
AST_above_normal,0.0,0.0,0.0,0.0,0.0
AST_below_normal,0.0,0.0,0.0,0.0,0.0
AST_deviation_from_normal,0.24922837752622184,0.1956592299389156,0.1892402365759853,0.19574282380886115,0.20307727806431802
AST_abs_deviation_from_normal,0.24078745616948644,0.18679658536796312,0.18561103105976495,0.18736622440540818,0.1974182732715134
AST_drift_from_normal,0.0018958310837700531,0.00020000014501992625,0.000858638278715136,0.0009481378954634138,0.000647793629632146
BUN_above_normal,0.0,0.0,0.0,0.0,0.0
BUN_below_normal,0.0,0.0,0.0,0.0,0.0
BUN_deviation_from_normal,0.2460640149972294,0.1892514847982531,0.17832610253401274,0.19511911542996419,0.21441486342162974
BUN_abs_deviation_from_normal,0.11630178918371759,0.0905922086595681,0.08106789459943577,0.1011331036465165,0.10376462506830708
BUN_drift_from_normal,0.002400909662403774,0.001003627685065136,0.0011685124996508294,0.0036504310526196157,0.003231500441039528
Alkalinephos_above_normal,0.0,0.0,0.0,0.0,0.0
Alkalinephos_below_normal,0.0,0.0,0.0,0.0,0.0
Alkalinephos_deviation_from_normal,0.18235622991430644,0.13116675424196172,0.14623125396638795,0.13300949988862432,0.1335308786326104
Alkalinephos_abs_deviation_from_normal,0.21426355282431148,0.15390262659481033,0.16371395802320443,0.16550394964410822,0.1798165784690054
Alkalinephos_drift_from_normal,0.002160775493137428,6.771176235496966e-05,0.0006519236744303722,0.000838681142467669,0.0016687015984693586
Calcium_above_normal,0.0,0.0,0.0,0.0,0.0
Calcium_below_normal,0.0,0.0,0.0,0.0,0.0
Calcium_deviation_from_normal,0.18342807194665273,0.14069142872625032,0.13621963235539497,0.1530832676146338,0.14548654790615512
Calcium_abs_deviation_from_normal,0.19082946423042255,0.14574840262407704,0.14369623918796376,0.16299630514357172,0.15182923892676026
Calcium_drift_from_normal,0.010583128488079657,0.0025977654129967945,0.002529725106630177,0.006507192054765763,0.005537540057508871
Chloride_above_normal,0.0,0.0,0.0,0.0,0.0
Chloride_below_normal,0.0,0.0,0.0,0.0,0.0
Chloride_deviation_from_normal,0.19142458864684686,0.08614586352606918,0.06919827410364142,0.07410252165805656,0.08882791743986451
Chloride_abs_deviation_from_normal,0.18005241673142486,0.07548569957295706,0.06258693583266395,0.06301607035426174,0.06113209505307837
Chloride_drift_from_normal,0.006428707111784397,0.0025912435076423336,0.0023344517817032416,0.00632462356637408,0.006050637669984898
Creatinine_above_normal,0.0,0.0,0.0,0.0,0.0
Creatinine_below_normal,0.0,0.0,0.0,0.0,0.0
Creatinine_deviation_from_normal,0.1733415529661375,0.14245752229928868,0.13222389802953985,0.15613362574657821,0.15863045429565026
Creatinine_abs_deviation_from_normal,0.09612196013532753,0.07828143639753779,0.06515608506947111,0.08859198903825762,0.09576640624872834
Creatinine_drift_from_normal,0.0036251473157299027,0.0012025068820477253,0.0012627936992385912,0.0018736555424678223,0.0020627574117873587
Bilirubin_direct_above_normal,0.0,0.0,0.0,0.0,0.0
Bilirubin_direct_below_normal,0.0,0.0,0.0,0.0,0.0
Bilirubin_direct_deviation_from_normal,0.0,0.0,0.0,0.0,0.0
Bilirubin_direct_abs_deviation_from_normal,0.05566865488958743,0.05249446619002027,0.053373074683149405,0.059695251279754544,0.07352988824928297
Bilirubin_direct_drift_from_normal,0.00010569902526149864,3.934954442039155e-05,2.70601121209253e-06,5.769073620556022e-05,0.0004965533738562189
Glucose_above_normal,0.0,0.0,0.0,0.0,0.0
Glucose_below_normal,0.0,0.0,0.0,0.0,0.0
Glucose_deviation_from_normal,0.07216140000101914,0.05353208967685219,0.034445787598444286,0.05615112526253767,0.05941294924131442
