feature,iv,iv_rank,gain_pct,gain_rank,mean_abs_shap,shap_rank,average_rank
Glucose_drift_from_normal,0.002873001614909541,91,0.3718803,68,0.022687284,42,67.0
TroponinI_drift_from_normal_6h,7.162085503201899e-05,101,0.5382289,50,0.01324199,51,67.33333333333333
Temp_below_normal,0.0,102,0.92399687,21,0.00085965806,81,68.0
O2Sat,0.02193639776560064,47,0.25800896,80,0.0012668545,78,68.33333333333333
DBP_std_6h,0.0026635553606805563,93,0.4026609,63,0.008961889,57,71.0
HR_below_normal,0.0,102,0.63612217,41,0.0023191897,72,71.66666666666667
SBP_abs_deviation_from_normal,0.004205601592506525,87,0.39274967,64,0.004636998,65,72.0
MAP_hourly_change,0.015211441362168721,58,0.18527351,92,0.002502263,70,73.33333333333333
Bilirubin_direct_drift_from_normal_6h,0.004534689577283778,85,0.43926,61,0.0014786627,76,74.0
SaO2_drift_from_normal,0.00707853040966937,76,0.38070977,65,0.0005461008,84,75.0
Fibrinogen_drift_from_normal_6h,0.0051082636063357785,83,0.30512798,74,0.0022032554,73,76.66666666666667
Resp_below_normal,0.0,102,0.6784866,36,0.00028544877,92,76.66666666666667
MAP_drift_from_normal,0.013985704357802432,62,0.21836008,86,0.0007242113,82,76.66666666666667
Potassium_drift_from_normal,0.010242387481979472,67,0.27289364,76,0.00029061688,91,78.0
Phosphate_drift_from_normal,0.008371462373148971,72,0.22218277,84,0.0006349151,83,79.66666666666667
Lactate_drift_from_normal,0.014285329289670943,61,0.21980393,85,0.00024562818,93,79.66666666666667
Resp_hourly_change,0.003114636464355347,90,0.19873886,88,0.0047228867,64,80.66666666666667
O2Sat_hourly_change,0.009117678274486302,68,0.2065743,87,0.0003217823,89,81.33333333333333
SBP_hourly_change,0.0027806345855765817,92,0.23603693,82,0.0024694272,71,81.66666666666667
Calcium_drift_from_normal,0.011430186354065135,65,0.19459575,91,0.00029897416,90,82.0
HR_drift_from_normal,0.008580676796343749,69,0.14288534,97,0.0005244747,85,83.66666666666667
DBP_hourly_change,0.00629411556280159,80,0.15659733,95,0.0012751672,77,84.0
Resp_drift_from_normal,0.008536390946467399,70,0.14340879,96,0.0003808446,87,84.33333333333333
DBP_drift_from_normal,0.005407651233588637,82,0.2543037,81,0.00016985703,95,86.0
PTT_drift_from_normal,0.0039867953727975945,89,0.19872752,89,0.0009389357,80,86.0
Platelets_drift_from_normal,0.005923633801661932,81,0.17513739,93,0.0004094257,86,86.66666666666667
BaseExcess_drift_from_normal,0.008434195699089195,71,0.11641068,100,0.00018647347,94,88.33333333333333
O2Sat_drift_from_normal,0.006636066021894834,78,0.09721351,101,3.760647e-05,100,93.0
WBC_drift_from_normal,0.007143305440398249,75,0.0892404,104,1.8244249e-05,103,94.0
SBP_below_normal,0.0,102,0.22868647,83,4.177876e-05,98,94.33333333333333
Chloride_drift_from_normal,0.007546038358372513,73,0.0,106,0.0,106,95.0
BUN_drift_from_normal,0.006344529096129507,79,0.0907031,103,1.6322008e-05,104,95.33333333333333
