Set,Precision,Recall,AUROC,F1
CV Mean (XGBoost),0.046423546716233804,0.7388305953304067,0.8057216106266804,0.0873442939259319
CV Mean (Logistic Reg),0.04752622244411209,0.6793364105095993,0.7778417339283887,0.08879398081993334
Cross-Hospital Holdout (XGBoost),0.02266589918592221,0.640367995539448,0.6623271815279435,0.04378212499920581
Cross-Hospital Holdout (Logistic Reg),0.03251706945918347,0.6036613697611746,0.702558803452603,0.06171004070620758
