bin,sepsis_rows,never_rows,sepsis_patients,auroc_future_sepsis_vs_never,pr_auc,mean_sepsis_prob,median_sepsis_prob,mean_never_prob,pct_sepsis_rows_prob_ge_030,pct_never_rows_prob_ge_030
24-48h,33897,1371953,1690,0.7209579742814033,0.06801503909155976,0.2728837733217612,0.239854163451101,0.1451274727417142,0.40443107059621797,0.1390178818079045
12-24h,22993,1371953,2147,0.7196877765754668,0.0500586851290839,0.27538423300343534,0.24068067091005393,0.1451274727417142,0.4082111947114339,0.1390178818079045
6-12h,13256,1371953,2216,0.7492319028783991,0.03287315815649277,0.2904903937830668,0.2619268553119353,0.1451274727417142,0.442893783946892,0.1390178818079045
3-6h,6644,1371953,2219,0.7846216968869131,0.02256827855424041,0.31812334975597767,0.3008939474616598,0.1451274727417142,0.5015051173991572,0.1390178818079045
0-3h,6629,1371953,2211,0.8047522128686369,0.0296848813475579,0.33911312960136586,0.3269196284136935,0.1451274727417142,0.5436717453612913,0.1390178818079045
