bin,sepsis_patients_with_rows,never_patients,patient_auroc,patient_pr_auc,median_sepsis_max_prob,median_never_max_prob,pct_sepsis_patients_ge_030,pct_never_patients_ge_030
24-48h,1690,37189,0.6558929351922317,0.09282382631696943,0.43985489974257075,0.283352129340407,0.6952662721893491,0.47277420742692733
12-24h,2147,37189,0.5995538994701758,0.0907406517944114,0.39353722761977056,0.283352129340407,0.632044713553796,0.47277420742692733
6-12h,2216,37189,0.6087161924263735,0.08331124635814965,0.37901091877315585,0.283352129340407,0.6304151624548736,0.47277420742692733
3-6h,2219,37189,0.5909489462078238,0.08065391833414787,0.36502611830810533,0.283352129340407,0.5998197386210005,0.47277420742692733
0-3h,2211,37189,0.6211909050057708,0.09569590946275511,0.39295384201374267,0.283352129340407,0.6449570330167345,0.47277420742692733
